TF	statistic	pvalue	zscore	max_auc	re_rank	irwin_hall_pvalue
GLYR1	0.599	2.745e-01	0.059	0.496	0.434	3.546e-01
TBL1XR1	0.363	3.584e-01	0.102	0.502	0.436	3.592e-01
L3MBTL2	0.456	3.243e-01	0.561	0.485	0.438	3.631e-01
FOXA1	-1.479	9.304e-01	1.007	0.581	0.439	3.639e-01
SIX1	0.118	4.529e-01	0.750	0.490	0.441	3.685e-01
RAD51	0.087	4.654e-01	0.893	0.488	0.442	3.716e-01
C11orf30	0.252	4.006e-01	0.865	0.483	0.443	3.724e-01
HEXIM1	0.452	3.255e-01	-0.492	0.511	0.443	3.724e-01
PGR	0.270	3.935e-01	0.901	0.476	0.449	3.864e-01
NEUROD1	-0.608	7.285e-01	0.362	0.538	0.449	3.872e-01
CAMTA2	0.288	3.868e-01	0.791	0.477	0.450	3.888e-01
MECOM	0.308	3.792e-01	0.726	0.478	0.450	3.888e-01
KRAB	0.361	3.589e-01	0.245	0.489	0.453	3.951e-01
ATF2	-0.027	5.106e-01	0.230	0.509	0.454	3.966e-01
HOXA2	0.491	3.116e-01	-0.156	0.489	0.456	4.022e-01
CHAMP1	0.356	3.611e-01	0.452	0.481	0.457	4.029e-01
ZNF425	0.269	3.940e-01	0.770	0.476	0.457	4.029e-01
ZNF133	0.075	4.703e-01	1.327	0.461	0.457	4.045e-01
MYF5	0.280	3.898e-01	0.657	0.476	0.457	4.045e-01
ZNF788	0.075	4.701e-01	1.099	0.473	0.458	4.053e-01
SRC	-0.052	5.206e-01	0.262	0.505	0.458	4.061e-01
ZNF585A	0.214	4.152e-01	0.831	0.472	0.461	4.125e-01
PITX3	0.153	4.391e-01	0.955	0.467	0.461	4.125e-01
ING5	0.134	4.468e-01	0.987	0.465	0.461	4.132e-01
AR	-3.380	9.996e-01	0.977	0.633	0.462	4.140e-01
ZMIZ1	0.371	3.554e-01	0.181	0.485	0.463	4.172e-01
LMO1	0.281	3.893e-01	0.487	0.476	0.464	4.188e-01
MKL2	0.430	3.334e-01	-0.181	0.488	0.467	4.252e-01
CLOCK	-0.004	5.015e-01	1.410	0.458	0.467	4.252e-01
BCL6	-0.109	5.436e-01	-0.234	0.515	0.468	4.292e-01
E2F2	0.269	3.939e-01	0.466	0.476	0.469	4.308e-01
ZNF770	0.176	4.302e-01	0.696	0.469	0.470	4.332e-01
NCOA1	0.268	3.945e-01	0.285	0.482	0.473	4.388e-01
MIER1	0.269	3.939e-01	0.390	0.476	0.473	4.404e-01
ZXDC	0.115	4.542e-01	0.830	0.464	0.474	4.420e-01
FOXP1	-0.451	6.740e-01	-0.318	0.530	0.477	4.492e-01
ZSCAN2	0.117	4.535e-01	0.734	0.464	0.477	4.492e-01
ORC2	0.248	4.021e-01	0.391	0.474	0.478	4.500e-01
HJURP	0.026	4.897e-01	1.146	0.457	0.478	4.508e-01
HDAC8	0.017	4.932e-01	-0.022	0.497	0.479	4.524e-01
DPPA2	0.073	4.708e-01	0.912	0.460	0.480	4.540e-01
CDCA2	0.058	4.767e-01	0.932	0.459	0.481	4.565e-01
STAT2	-0.303	6.192e-01	-0.732	0.527	0.481	4.573e-01
SCRT2	0.146	4.418e-01	0.613	0.464	0.481	4.573e-01
USF2	-0.507	6.939e-01	-1.244	0.549	0.483	4.621e-01
BCLAF1	0.172	4.316e-01	-0.319	0.493	0.483	4.629e-01
ZFP57	-0.021	5.085e-01	0.700	0.474	0.484	4.637e-01
EZH2	-1.151	8.751e-01	-0.269	0.563	0.486	4.677e-01
TET2	-1.082	8.604e-01	-0.377	0.562	0.486	4.694e-01
HHEX	0.055	4.779e-01	0.804	0.460	0.487	4.702e-01
GLI2	-0.921	8.216e-01	-1.792	0.641	0.487	4.710e-01
ZNF701	0.098	4.608e-01	0.604	0.463	0.488	4.734e-01
CBX8	-0.150	5.595e-01	-1.445	0.534	0.490	4.766e-01
MCM3	0.081	4.679e-01	0.591	0.463	0.490	4.766e-01
CSDE1	0.054	4.783e-01	0.178	0.481	0.495	4.888e-01
SETDB1	-0.881	8.109e-01	0.390	0.517	0.496	4.904e-01
CBFA2T2	0.057	4.774e-01	0.609	0.459	0.496	4.920e-01
SUMO2	-2.509	9.939e-01	-0.038	0.632	0.497	4.936e-01
DPF1	0.053	4.789e-01	0.316	0.475	0.498	4.960e-01
HDAC4	0.251	4.007e-01	-0.076	0.474	0.499	4.968e-01
RNF2	-1.159	8.767e-01	-1.009	0.577	0.499	4.976e-01
GTF2A2	-0.003	5.013e-01	0.772	0.455	0.499	4.976e-01
RFX5	-0.185	5.733e-01	-0.923	0.513	0.500	5.001e-01
GRHL1	0.102	4.592e-01	0.372	0.463	0.500	5.009e-01
ZNF429	-0.079	5.314e-01	0.988	0.449	0.500	5.009e-01
CBX6	0.190	4.248e-01	-0.338	0.483	0.501	5.033e-01
MTA3	-0.443	6.711e-01	-0.060	0.502	0.504	5.098e-01
ZNF644	0.088	4.649e-01	-0.070	0.476	0.505	5.106e-01
E2F5	0.195	4.227e-01	-0.188	0.473	0.507	5.162e-01
H2AZ	0.074	4.705e-01	-2.410	0.548	0.508	5.171e-01
ZNF605	-0.081	5.321e-01	0.844	0.449	0.508	5.187e-01
CHD8	-0.590	7.223e-01	-0.349	0.517	0.509	5.195e-01
MBD4	0.115	4.541e-01	0.071	0.464	0.509	5.211e-01
SOX4	0.032	4.873e-01	0.360	0.463	0.510	5.219e-01
POU2F2	-0.056	5.223e-01	-0.277	0.487	0.510	5.227e-01
ZNF93	0.048	4.807e-01	0.394	0.459	0.510	5.235e-01
ZNF675	-0.164	5.650e-01	1.070	0.442	0.512	5.267e-01
HES1	-0.397	6.543e-01	0.036	0.491	0.513	5.284e-01
ZNF671	0.052	4.793e-01	0.365	0.459	0.513	5.300e-01
TARDBP	0.065	4.742e-01	-0.666	0.486	0.516	5.356e-01
MAX	-0.820	7.938e-01	-2.342	0.622	0.517	5.389e-01
CREM	-0.342	6.338e-01	-0.178	0.491	0.518	5.397e-01
ZNF362	0.064	4.745e-01	0.044	0.462	0.519	5.429e-01
NBN	-0.407	6.579e-01	-0.177	0.492	0.520	5.453e-01
ZNF16	-0.260	6.027e-01	0.665	0.452	0.523	5.525e-01
ID3	0.075	4.700e-01	-0.133	0.461	0.524	5.533e-01
NCOR2	-0.065	5.261e-01	-0.073	0.473	0.524	5.541e-01
BCAT1	-0.070	5.278e-01	0.380	0.453	0.525	5.565e-01
XCL1	0.145	4.425e-01	-0.428	0.466	0.526	5.582e-01
FXR2	-0.006	5.023e-01	0.284	0.455	0.526	5.582e-01
LIN9	-0.056	5.223e-01	0.380	0.451	0.527	5.606e-01
EWSR1	-0.352	6.375e-01	0.306	0.474	0.527	5.614e-01
ZSCAN29	0.058	4.768e-01	-0.280	0.468	0.528	5.622e-01
LMTK3	-0.425	6.645e-01	0.641	0.459	0.528	5.638e-01
CDK8	-0.405	6.572e-01	-1.146	0.510	0.528	5.638e-01
NCAPG	-0.835	7.982e-01	-0.028	0.504	0.531	5.702e-01
NOTCH1	-0.671	7.487e-01	-0.991	0.518	0.532	5.710e-01
ZNF280A	-0.283	6.113e-01	1.020	0.432	0.532	5.718e-01
SOX13	-0.196	5.776e-01	-0.032	0.472	0.533	5.734e-01
TFAP4	-0.175	5.696e-01	-0.303	0.479	0.533	5.750e-01
RBL1	-0.011	5.042e-01	0.076	0.454	0.534	5.758e-01
HLTF	-0.082	5.327e-01	-0.246	0.468	0.537	5.821e-01
CHD7	-0.458	6.766e-01	-0.251	0.489	0.538	5.845e-01
FOXK2	-0.391	6.521e-01	0.040	0.475	0.538	5.845e-01
HNF4G	-0.605	7.273e-01	0.335	0.480	0.539	5.869e-01
MYBL2	0.020	4.919e-01	-0.172	0.456	0.539	5.869e-01
ZNF84	-0.170	5.676e-01	0.449	0.441	0.544	5.972e-01
ZNF350	-0.081	5.323e-01	0.095	0.449	0.544	5.980e-01
KLF6	0.120	4.522e-01	-0.939	0.464	0.545	6.004e-01
MEF2C	0.056	4.777e-01	-0.417	0.459	0.545	6.011e-01
ZNF182	-0.111	5.440e-01	0.170	0.446	0.546	6.035e-01
ZNF121	-0.503	6.926e-01	-0.868	0.495	0.550	6.114e-01
CTNNB1	-0.221	5.876e-01	0.441	0.437	0.551	6.137e-01
HOXC9	-0.362	6.412e-01	0.586	0.440	0.552	6.161e-01
ETS2	-0.272	6.073e-01	0.036	0.455	0.553	6.169e-01
ZNF479	-0.117	5.465e-01	-0.025	0.446	0.555	6.215e-01
ETV1	-0.279	6.098e-01	-1.039	0.485	0.558	6.278e-01
GLIS1	-0.475	6.826e-01	-0.936	0.491	0.558	6.285e-01
HCFC1R1	-0.270	6.065e-01	0.407	0.433	0.559	6.309e-01
ZMYND8	-0.852	8.030e-01	-2.090	0.548	0.561	6.347e-01
INTS3	0.028	4.890e-01	-0.768	0.457	0.561	6.347e-01
KDM5C	-0.583	7.199e-01	-1.558	0.513	0.561	6.355e-01
NFATC1	-0.827	7.959e-01	-1.746	0.531	0.562	6.363e-01
ERG	-2.133	9.835e-01	-1.751	0.620	0.563	6.394e-01
ZFP41	-0.583	7.200e-01	0.727	0.441	0.563	6.394e-01
ZNF138	-0.326	6.279e-01	0.532	0.429	0.563	6.394e-01
TLE3	-1.418	9.219e-01	0.539	0.498	0.564	6.417e-01
ZNF197	-0.076	5.301e-01	-0.522	0.453	0.565	6.432e-01
MED1	-3.624	9.999e-01	-1.718	0.765	0.565	6.440e-01
EGR3	-0.161	5.640e-01	-0.131	0.442	0.566	6.455e-01
HDAC3	-0.505	6.932e-01	0.402	0.444	0.567	6.486e-01
BRD4	-3.468	9.997e-01	-1.592	0.656	0.568	6.501e-01
MECP2	-0.140	5.555e-01	-1.229	0.474	0.569	6.516e-01
ZNF366	-0.191	5.756e-01	-0.647	0.458	0.570	6.555e-01
GTF2F1	-0.747	7.725e-01	-1.690	0.518	0.572	6.585e-01
CDC5L	-0.291	6.145e-01	-0.037	0.441	0.574	6.630e-01
ZNF558	-0.306	6.200e-01	-0.405	0.455	0.575	6.653e-01
ZNF83	-0.196	5.777e-01	-0.640	0.453	0.576	6.668e-01
NCOR1	-0.833	7.975e-01	-1.443	0.509	0.577	6.698e-01
ZNF8	-0.872	8.085e-01	-0.145	0.478	0.579	6.728e-01
CTBP1	-0.481	6.848e-01	-0.057	0.450	0.579	6.736e-01
ZNF592	-0.449	6.734e-01	-0.069	0.446	0.581	6.780e-01
ZNF765	-0.474	6.824e-01	0.625	0.416	0.585	6.855e-01
KLF3	-0.243	5.961e-01	-0.260	0.436	0.587	6.891e-01
MBD1	-0.271	6.069e-01	-1.258	0.465	0.587	6.906e-01
ZBTB42	-0.245	5.969e-01	-0.266	0.436	0.588	6.913e-01
PRAME	-0.139	5.554e-01	-0.868	0.444	0.590	6.950e-01
CREB3L4	-0.305	6.200e-01	-0.154	0.431	0.591	6.972e-01
KDM5B	-0.803	7.891e-01	-2.023	0.522	0.591	6.979e-01
IKZF2	-0.321	6.261e-01	-0.654	0.448	0.591	6.979e-01
GRHL3	-0.827	7.959e-01	-0.287	0.473	0.591	6.987e-01
LEF1	-1.030	8.484e-01	-1.486	0.512	0.593	7.016e-01
HOXB13	-2.533	9.944e-01	0.423	0.508	0.594	7.045e-01
GATAD2B	-0.469	6.806e-01	-0.416	0.451	0.595	7.052e-01
AGO1	-0.522	6.991e-01	-0.150	0.443	0.595	7.052e-01
APOBEC3B	-0.317	6.244e-01	-0.197	0.430	0.596	7.073e-01
PPARD	-0.228	5.900e-01	-0.682	0.437	0.599	7.131e-01
SP140	-0.620	7.323e-01	-0.194	0.447	0.599	7.138e-01
BCL11A	-1.098	8.639e-01	-1.557	0.514	0.599	7.145e-01
ZBTB40	-0.886	8.121e-01	-1.026	0.486	0.602	7.202e-01
PRDM10	-0.203	5.804e-01	-1.061	0.445	0.602	7.209e-01
ZNF600	-0.252	5.996e-01	-1.016	0.444	0.603	7.223e-01
ZNF136	-0.663	7.462e-01	0.830	0.399	0.604	7.230e-01
POU5F1	-3.541	9.998e-01	-0.364	0.535	0.605	7.251e-01
ZNF264	-0.757	7.755e-01	-0.764	0.472	0.605	7.251e-01
WDHD1	-0.391	6.520e-01	-0.475	0.435	0.605	7.265e-01
SETX	-0.155	5.617e-01	-1.230	0.442	0.606	7.279e-01
PRDM14	-0.388	6.510e-01	-0.200	0.424	0.607	7.293e-01
CCND2	-0.046	5.185e-01	-1.621	0.452	0.609	7.342e-01
GATAD1	-0.530	7.019e-01	-1.096	0.460	0.609	7.342e-01
DROSHA	-0.449	6.734e-01	-1.975	0.490	0.609	7.342e-01
DDX5	-0.672	7.491e-01	-1.514	0.485	0.610	7.356e-01
XBP1	-0.961	8.317e-01	-0.710	0.476	0.610	7.363e-01
STAT5B	-1.250	8.944e-01	-1.133	0.500	0.611	7.377e-01
NFYB	-0.640	7.390e-01	-0.877	0.458	0.612	7.390e-01
FOXJ2	-0.414	6.606e-01	-0.634	0.434	0.613	7.404e-01
ZNF649	-0.737	7.696e-01	0.852	0.391	0.614	7.425e-01
SON	-0.386	6.502e-01	-0.386	0.424	0.614	7.438e-01
MLLT1	-1.012	8.443e-01	-1.412	0.492	0.615	7.452e-01
NANOG	-2.550	9.946e-01	0.151	0.503	0.615	7.459e-01
AGO2	-0.296	6.165e-01	-0.880	0.432	0.616	7.465e-01
NFRKB	-0.439	6.697e-01	-0.582	0.432	0.617	7.493e-01
DIDO1	-0.448	6.727e-01	-0.611	0.432	0.618	7.506e-01
SSU72	-0.438	6.694e-01	-0.257	0.419	0.618	7.506e-01
ZNF585B	-0.729	7.671e-01	0.364	0.417	0.619	7.519e-01
ATF1	-1.590	9.440e-01	-1.498	0.525	0.620	7.546e-01
ZNF202	-0.897	8.151e-01	-0.682	0.461	0.620	7.553e-01
ZNF260	-0.432	6.672e-01	-0.387	0.420	0.623	7.593e-01
POLR2H	-0.446	6.722e-01	-0.932	0.436	0.624	7.613e-01
POLR2A	-31.221	1.000e+00	-2.437	0.642	0.624	7.619e-01
ASH2L	-0.678	7.512e-01	0.038	0.422	0.624	7.619e-01
YBX3	-0.557	7.112e-01	-0.360	0.427	0.626	7.652e-01
ETS1	-1.821	9.657e-01	-1.470	0.525	0.627	7.665e-01
MYH11	-1.317	9.060e-01	-2.812	0.555	0.627	7.672e-01
INTS12	-0.182	5.723e-01	-1.504	0.441	0.627	7.672e-01
NFATC3	-0.335	6.313e-01	-1.032	0.428	0.628	7.698e-01
C17orf49	-0.345	6.351e-01	-1.349	0.439	0.630	7.724e-01
FOXG1	-0.436	6.687e-01	-0.698	0.420	0.632	7.762e-01
ZNF141	-0.538	7.048e-01	-0.213	0.410	0.632	7.769e-01
CBX1	-0.764	7.776e-01	-1.806	0.483	0.635	7.820e-01
FOXM1	-2.331	9.901e-01	-1.263	0.522	0.637	7.845e-01
ZNF664	-0.552	7.096e-01	-0.758	0.427	0.637	7.857e-01
FOXP2	-0.313	6.229e-01	-1.871	0.456	0.637	7.857e-01
ZNF2	-0.680	7.519e-01	-1.647	0.466	0.641	7.925e-01
COPS2	-0.438	6.691e-01	-0.982	0.420	0.641	7.925e-01
EGLN2	-0.366	6.427e-01	-1.261	0.426	0.641	7.925e-01
TRIM25	-1.014	8.448e-01	-1.873	0.494	0.642	7.944e-01
ZNF28	-0.504	6.927e-01	-0.633	0.414	0.642	7.944e-01
NIPBL	-1.242	8.928e-01	-1.772	0.501	0.643	7.950e-01
BCOR	-0.678	7.512e-01	-2.165	0.487	0.643	7.950e-01
NKX3-1	-0.977	8.358e-01	0.289	0.413	0.644	7.974e-01
MYC	-7.493	1.000e+00	-2.314	0.583	0.645	7.986e-01
BANP	-0.846	8.011e-01	-0.352	0.429	0.645	7.993e-01
FOXP3	-0.674	7.499e-01	-0.896	0.431	0.648	8.035e-01
ZBTB6	-0.746	7.723e-01	-1.372	0.449	0.650	8.076e-01
ELF1	-1.387	9.172e-01	-1.935	0.512	0.651	8.082e-01
ZNF534	-0.408	6.582e-01	-1.315	0.423	0.651	8.094e-01
ZNF623	-0.586	7.209e-01	-1.113	0.426	0.654	8.129e-01
ARNTL	-1.356	9.124e-01	-1.257	0.485	0.654	8.135e-01
ZNF146	-1.140	8.729e-01	-1.251	0.466	0.656	8.169e-01
IRF3	-0.932	8.243e-01	-1.295	0.452	0.658	8.203e-01
ZBTB48	-1.681	9.536e-01	-0.469	0.479	0.658	8.203e-01
KLF11	-0.558	7.114e-01	-1.790	0.450	0.658	8.203e-01
E2F1	-8.632	1.000e+00	-2.661	0.589	0.660	8.237e-01
CDK12	-0.399	6.550e-01	-1.514	0.423	0.661	8.248e-01
ZNF438	-0.694	7.561e-01	-1.150	0.428	0.662	8.259e-01
BRCA1	-1.504	9.337e-01	-1.537	0.496	0.663	8.270e-01
PPARGC1A	-0.580	7.189e-01	-0.982	0.407	0.665	8.303e-01
CBX4	-0.237	5.936e-01	-2.029	0.436	0.665	8.314e-01
BTAF1	-0.583	7.201e-01	-0.989	0.406	0.666	8.330e-01
ZNF44	-0.496	6.901e-01	-1.339	0.414	0.667	8.341e-01
BRD3	-1.912	9.721e-01	-2.340	0.536	0.668	8.352e-01
ZNF467	-0.454	6.749e-01	-1.480	0.418	0.669	8.368e-01
ZNF641	-0.795	7.867e-01	-1.025	0.423	0.670	8.384e-01
ZBTB33	-2.273	9.885e-01	-1.609	0.511	0.670	8.384e-01
GTF3C5	-0.405	6.572e-01	-2.195	0.449	0.670	8.384e-01
ESRRA	-0.786	7.841e-01	-1.585	0.445	0.670	8.389e-01
ZNF280D	-0.622	7.330e-01	-1.364	0.422	0.672	8.410e-01
ETV7	-0.614	7.303e-01	-1.006	0.403	0.673	8.431e-01
CBFB	-1.538	9.380e-01	-2.520	0.525	0.674	8.436e-01
MKL1	-0.545	7.072e-01	-1.370	0.410	0.675	8.452e-01
ZNF257	-0.445	6.718e-01	-1.608	0.419	0.675	8.452e-01
E2F8	-0.597	7.246e-01	-1.193	0.405	0.678	8.492e-01
PIAS1	-2.632	9.958e-01	0.375	0.451	0.678	8.497e-01
ZNF35	-0.516	6.971e-01	-1.486	0.413	0.678	8.497e-01
ARID5B	-0.629	7.354e-01	-1.086	0.402	0.680	8.522e-01
OSR2	-1.053	8.538e-01	-0.937	0.428	0.682	8.547e-01
EGR2	-0.955	8.301e-01	-1.389	0.436	0.682	8.557e-01
KAT8	-1.109	8.663e-01	-1.190	0.440	0.684	8.581e-01
POU3F2	-0.902	8.166e-01	-0.789	0.405	0.686	8.610e-01
AEBP2	-1.090	8.621e-01	-0.259	0.402	0.686	8.610e-01
PHIP	-0.985	8.378e-01	-2.836	0.498	0.687	8.624e-01
ZNF695	-0.450	6.737e-01	-1.823	0.418	0.688	8.629e-01
MGEA5	-0.453	6.746e-01	-1.817	0.418	0.688	8.639e-01
SP1	-2.649	9.960e-01	-2.882	0.551	0.690	8.657e-01
JARID2	-1.486	9.314e-01	-0.719	0.447	0.690	8.657e-01
ZNF800	-1.067	8.569e-01	-0.312	0.392	0.695	8.717e-01
HDAC6	-1.024	8.471e-01	-1.553	0.440	0.695	8.717e-01
POLR2AphosphoS5	-1.140	8.728e-01	-1.784	0.456	0.697	8.744e-01
CHD2	-1.028	8.481e-01	-2.456	0.482	0.698	8.757e-01
BARX1	-0.743	7.713e-01	-1.228	0.390	0.700	8.779e-01
CCDC101	-0.991	8.392e-01	-1.244	0.414	0.702	8.806e-01
ZNF488	-1.234	8.915e-01	-0.192	0.389	0.704	8.836e-01
SP7	-0.555	7.105e-01	-2.094	0.425	0.706	8.861e-01
LEO1	-0.697	7.571e-01	-1.498	0.395	0.709	8.886e-01
ZNF639	-1.324	9.073e-01	-1.446	0.442	0.711	8.910e-01
GABPA	-3.041	9.988e-01	-1.883	0.502	0.712	8.922e-01
CD59	-0.868	8.074e-01	-1.227	0.374	0.718	8.986e-01
MBOAT4	-0.706	7.600e-01	-1.663	0.394	0.720	9.009e-01
ARNT2	-0.801	7.884e-01	-1.460	0.382	0.720	9.013e-01
KLF1	-1.604	9.456e-01	-2.447	0.497	0.720	9.016e-01
ARRB1	-1.232	8.911e-01	-0.493	0.383	0.720	9.016e-01
GTF2E2	-0.806	7.899e-01	-1.455	0.382	0.721	9.024e-01
ZBTB7B	-0.830	7.966e-01	-1.380	0.379	0.721	9.028e-01
FEZF1	-1.299	9.031e-01	-1.039	0.411	0.721	9.028e-01
MAZ	-1.167	8.784e-01	-2.820	0.486	0.722	9.031e-01
TBP	-1.481	9.307e-01	-2.438	0.489	0.722	9.031e-01
GABP	-0.908	8.180e-01	-1.834	0.421	0.722	9.035e-01
RAC3	-0.913	8.194e-01	-1.026	0.369	0.723	9.043e-01
SOX9	-1.061	8.556e-01	-1.939	0.437	0.724	9.050e-01
TRAF7	-0.960	8.316e-01	-2.327	0.446	0.724	9.054e-01
CDK9	-2.774	9.972e-01	-2.255	0.506	0.724	9.057e-01
ZNF518A	-0.823	7.948e-01	-1.877	0.412	0.726	9.072e-01
ZNF394	-0.550	7.090e-01	-2.546	0.427	0.726	9.076e-01
MBD2	-2.617	9.956e-01	-2.630	0.515	0.727	9.079e-01
TSHZ1	-0.938	8.258e-01	-1.696	0.408	0.727	9.083e-01
SUZ12	-2.707	9.966e-01	-1.328	0.465	0.728	9.090e-01
ZNF682	-0.783	7.832e-01	-2.017	0.416	0.728	9.090e-01
FEV	-0.874	8.088e-01	-1.419	0.374	0.729	9.101e-01
ZSCAN16	-1.208	8.866e-01	-2.428	0.464	0.729	9.108e-01
ZNF263	-1.214	8.877e-01	-2.116	0.452	0.730	9.112e-01
EGR1	-1.637	9.492e-01	-2.639	0.497	0.731	9.122e-01
ZNF687	-1.046	8.522e-01	-1.371	0.391	0.731	9.122e-01
KMT2A	-1.465	9.285e-01	-2.443	0.484	0.732	9.129e-01
RARG	-1.360	9.131e-01	-1.084	0.408	0.733	9.140e-01
ELK3	-0.766	7.782e-01	-1.758	0.387	0.733	9.140e-01
NR2C2	-2.648	9.960e-01	-1.565	0.474	0.733	9.143e-01
TRRAP	-1.065	8.566e-01	-1.424	0.391	0.734	9.154e-01
KMT2D	-3.194	9.993e-01	-1.905	0.489	0.736	9.174e-01
ZNF611	-0.752	7.740e-01	-1.837	0.389	0.736	9.174e-01
CTBP2	-1.053	8.538e-01	-1.970	0.425	0.738	9.187e-01
PRDM6	-1.070	8.576e-01	-0.898	0.351	0.739	9.201e-01
L3MBTL4	-0.707	7.601e-01	-1.999	0.394	0.740	9.211e-01
MRE11A	-1.073	8.584e-01	-1.490	0.390	0.741	9.220e-01
BCL3	-4.889	1.000e+00	-1.974	0.491	0.742	9.224e-01
SREBF1	-1.455	9.271e-01	-1.489	0.425	0.743	9.233e-01
ZFP37	-0.569	7.152e-01	-2.685	0.423	0.743	9.233e-01
HOXA4	-0.596	7.243e-01	-2.367	0.405	0.743	9.236e-01
YY1	-5.468	1.000e+00	-2.324	0.503	0.744	9.249e-01
RB1	-1.985	9.764e-01	-1.856	0.463	0.745	9.252e-01
CCNT2	-0.680	7.518e-01	-2.194	0.397	0.746	9.262e-01
ZNF143	-3.168	9.992e-01	-2.193	0.491	0.747	9.268e-01
KDM4A	-1.339	9.098e-01	-2.051	0.444	0.747	9.268e-01
HDAC1	-2.161	9.847e-01	-2.333	0.485	0.749	9.287e-01
DNMT3B	-1.660	9.516e-01	-1.305	0.424	0.749	9.290e-01
E2F4	-2.613	9.955e-01	-2.214	0.487	0.750	9.296e-01
E2F3	-0.696	7.568e-01	-2.246	0.395	0.752	9.314e-01
SREBF2	-0.961	8.318e-01	-1.568	0.364	0.753	9.323e-01
DLX1	-0.917	8.204e-01	-1.645	0.368	0.754	9.329e-01
ZNF239	-1.259	8.960e-01	-1.250	0.373	0.754	9.332e-01
MBTD1	-0.791	7.855e-01	-2.039	0.384	0.755	9.337e-01
TGIF2	-0.907	8.177e-01	-2.226	0.409	0.756	9.346e-01
ZSCAN20	-1.036	8.499e-01	-1.865	0.394	0.756	9.349e-01
REL	-1.107	8.659e-01	-2.064	0.417	0.757	9.358e-01
ZNF837	-1.324	9.073e-01	-1.164	0.373	0.757	9.358e-01
CASP8AP2	-1.060	8.553e-01	-1.442	0.352	0.758	9.363e-01
ZFX	-3.108	9.991e-01	-2.557	0.497	0.759	9.369e-01
ZNF346	-0.807	7.903e-01	-2.430	0.408	0.759	9.369e-01
ING2	-0.632	7.364e-01	-2.590	0.401	0.760	9.380e-01
ZNF618	-1.043	8.516e-01	-1.499	0.354	0.761	9.386e-01
KLF15	-2.380	9.913e-01	-2.608	0.489	0.761	9.389e-01
RFX2	-0.997	8.405e-01	-1.616	0.360	0.761	9.389e-01
HDAC2	-1.880	9.700e-01	-3.023	0.497	0.762	9.391e-01
ZKSCAN5	-0.588	7.219e-01	-2.718	0.406	0.762	9.394e-01
BPTF	-0.692	7.556e-01	-2.520	0.396	0.765	9.413e-01
NKRF	-1.324	9.073e-01	-1.703	0.402	0.765	9.416e-01
CDK7	-1.642	9.498e-01	-2.208	0.454	0.767	9.429e-01
ERF	-1.676	9.531e-01	-0.753	0.375	0.767	9.432e-01
MXI1	-1.167	8.783e-01	-2.732	0.446	0.770	9.450e-01
CNOT3	-1.367	9.142e-01	-1.509	0.386	0.771	9.463e-01
ZNF778	-1.224	8.895e-01	-1.854	0.391	0.772	9.468e-01
MXD3	-1.137	8.722e-01	-1.481	0.342	0.772	9.468e-01
HMGN1	-1.011	8.441e-01	-1.852	0.359	0.775	9.488e-01
ZNF335	-0.786	7.840e-01	-2.949	0.418	0.776	9.495e-01
RAG2	-0.648	7.416e-01	-2.837	0.400	0.777	9.502e-01
ZNF528	-0.667	7.478e-01	-2.829	0.398	0.778	9.509e-01
NUP98-HOXA9	-1.372	9.150e-01	-0.754	0.304	0.780	9.524e-01
ASCL2	-1.032	8.490e-01	-1.860	0.356	0.780	9.524e-01
NELFE	-5.703	1.000e+00	-2.108	0.473	0.783	9.538e-01
CREB1	-3.958	1.000e+00	-2.700	0.489	0.783	9.540e-01
SIN3A	-2.683	9.963e-01	-2.604	0.480	0.783	9.540e-01
PRDM11	-1.163	8.776e-01	-2.930	0.442	0.783	9.540e-01
ELK1	-2.532	9.943e-01	-1.689	0.432	0.784	9.544e-01
ZBTB11	-2.299	9.893e-01	-1.991	0.444	0.784	9.547e-01
HOXA6	-0.958	8.309e-01	-2.154	0.364	0.785	9.556e-01
CDK6	-0.884	8.116e-01	-2.337	0.373	0.786	9.558e-01
NFYA	-2.082	9.813e-01	-1.608	0.416	0.787	9.562e-01
HOXA1	-1.191	8.831e-01	-1.568	0.334	0.789	9.578e-01
ELL2	-2.902	9.981e-01	-1.895	0.443	0.790	9.584e-01
MNT	-1.591	9.442e-01	-1.635	0.392	0.791	9.590e-01
BRD2	-3.237	9.994e-01	-2.641	0.482	0.792	9.593e-01
HIC1	-0.966	8.330e-01	-2.670	0.402	0.792	9.593e-01
VEZF1	-1.356	9.124e-01	-1.834	0.378	0.792	9.593e-01
ZNF547	-1.367	9.142e-01	-2.107	0.404	0.793	9.599e-01
KLF17	-0.980	8.364e-01	-2.744	0.403	0.797	9.621e-01
AFF4	-3.924	1.000e+00	-2.395	0.465	0.798	9.631e-01
ZNF414	-0.909	8.184e-01	-3.002	0.407	0.799	9.635e-01
ZNF281	-1.047	8.524e-01	-2.151	0.354	0.799	9.637e-01
POLR2B	-1.565	9.412e-01	-2.089	0.409	0.801	9.647e-01
AFF1	-2.304	9.894e-01	-2.386	0.446	0.802	9.653e-01
ZNF100	-1.318	9.062e-01	-2.338	0.400	0.803	9.656e-01
KDM4B	-1.364	9.137e-01	-1.944	0.373	0.804	9.660e-01
SETD1A	-1.133	8.713e-01	-3.326	0.431	0.804	9.662e-01
EP400	-1.077	8.593e-01	-2.171	0.351	0.805	9.668e-01
