TF	statistic	pvalue	zscore	max_auc	re_rank	irwin_hall_pvalue
ZSCAN5A	0.824	2.050e-01	0.151	0.506	0.426	3.379e-01
DACOR1	0.266	3.950e-01	1.705	0.480	0.427	3.401e-01
BRD2	0.186	4.261e-01	-1.034	0.570	0.428	3.424e-01
EWSR1	-0.083	5.332e-01	0.612	0.529	0.429	3.432e-01
MORC2	-0.179	5.710e-01	-0.599	0.576	0.429	3.432e-01
ERF	0.311	3.780e-01	1.233	0.495	0.431	3.470e-01
ZNF512	0.451	3.260e-01	1.037	0.496	0.432	3.500e-01
ZNF75D	0.160	4.364e-01	1.542	0.488	0.432	3.500e-01
CBX6	0.682	2.476e-01	0.502	0.500	0.432	3.508e-01
RFX5	0.029	4.885e-01	-0.679	0.564	0.433	3.516e-01
CBX5	0.474	3.178e-01	1.151	0.491	0.433	3.516e-01
KDM6B	0.099	4.607e-01	-0.064	0.542	0.433	3.523e-01
MBD2	-0.607	7.282e-01	-0.995	0.685	0.434	3.539e-01
L3MBTL4	0.637	2.620e-01	0.525	0.501	0.434	3.546e-01
TCF7	-0.215	5.851e-01	0.452	0.538	0.435	3.554e-01
MYCN	0.415	3.389e-01	-0.689	0.546	0.435	3.562e-01
STAT3	0.296	3.838e-01	0.094	0.524	0.435	3.569e-01
TAZ	0.534	2.965e-01	0.875	0.495	0.435	3.569e-01
ZNF48	0.164	4.348e-01	1.776	0.475	0.436	3.585e-01
HES1	-0.052	5.209e-01	0.528	0.523	0.437	3.600e-01
BRD9	0.373	3.545e-01	0.251	0.516	0.438	3.623e-01
RXRA	-0.718	7.635e-01	-0.340	0.592	0.438	3.631e-01
ZBTB7A	-0.066	5.262e-01	-1.292	0.596	0.439	3.654e-01
NR2F6	-0.175	5.694e-01	0.503	0.530	0.440	3.677e-01
ZNF788	0.293	3.849e-01	1.488	0.479	0.441	3.685e-01
MYNN	0.002	4.991e-01	0.308	0.527	0.441	3.685e-01
SATB1	0.162	4.356e-01	1.537	0.484	0.441	3.685e-01
KMT2A	-0.055	5.220e-01	-1.244	0.587	0.441	3.693e-01
MAFK	-0.208	5.825e-01	0.603	0.528	0.441	3.700e-01
ZNF100	0.576	2.822e-01	-0.144	0.519	0.443	3.731e-01
CHD2	0.120	4.521e-01	-1.080	0.565	0.443	3.739e-01
CBFB	-0.078	5.311e-01	-1.314	0.592	0.444	3.747e-01
ZNF17	0.189	4.251e-01	1.637	0.476	0.444	3.747e-01
ZNF750	0.369	3.560e-01	1.237	0.486	0.444	3.755e-01
NFKB2	0.531	2.976e-01	0.883	0.488	0.446	3.802e-01
NFIL3	0.432	3.329e-01	0.970	0.489	0.448	3.841e-01
ZNF76	0.384	3.505e-01	-0.307	0.527	0.448	3.848e-01
EBNA3	0.489	3.123e-01	0.773	0.493	0.450	3.888e-01
TBX21	0.528	2.987e-01	0.448	0.500	0.450	3.896e-01
BCL6	0.213	4.158e-01	-0.013	0.523	0.452	3.927e-01
ZNF343	0.757	2.246e-01	-0.328	0.509	0.452	3.927e-01
ZNF781	0.072	4.713e-01	1.450	0.483	0.456	4.022e-01
ZNF823	0.178	4.295e-01	1.451	0.475	0.456	4.022e-01
ZNF483	0.668	2.520e-01	-0.052	0.503	0.458	4.069e-01
KDM5C	0.764	2.223e-01	-0.439	0.507	0.459	4.093e-01
AFF1	-0.210	5.833e-01	-0.642	0.558	0.462	4.156e-01
NOTCH1	-0.891	8.135e-01	-1.157	0.678	0.463	4.164e-01
CHRM2	-0.058	5.231e-01	-0.503	0.542	0.464	4.196e-01
DEK	0.128	4.492e-01	-0.377	0.530	0.464	4.196e-01
ZNF695	0.529	2.983e-01	0.374	0.495	0.465	4.220e-01
ZNF574	0.605	2.725e-01	0.085	0.499	0.466	4.228e-01
TEAD1	0.365	3.574e-01	0.816	0.487	0.466	4.236e-01
DNMT3B	-0.323	6.267e-01	0.157	0.532	0.467	4.252e-01
DUX4	0.095	4.623e-01	1.276	0.483	0.467	4.260e-01
FOXO3	-0.183	5.724e-01	-0.260	0.540	0.469	4.316e-01
ING5	0.216	4.146e-01	1.192	0.477	0.469	4.316e-01
GLYR1	0.590	2.776e-01	0.039	0.498	0.473	4.396e-01
ZNF384	0.143	4.432e-01	0.592	0.497	0.473	4.404e-01
ZNF182	0.281	3.892e-01	0.927	0.481	0.474	4.412e-01
SFPQ	-0.027	5.107e-01	1.579	0.464	0.475	4.436e-01
ZNF22	0.137	4.455e-01	1.243	0.473	0.475	4.444e-01
HMG20A	0.388	3.489e-01	0.613	0.487	0.476	4.452e-01
MECP2	0.639	2.614e-01	-0.363	0.502	0.478	4.500e-01
RBBP5	-0.526	7.005e-01	-1.587	0.609	0.478	4.516e-01
TLE3	-0.036	5.142e-01	1.313	0.476	0.480	4.549e-01
TRIM24	-0.379	6.478e-01	-0.444	0.548	0.480	4.557e-01
ESR1	-4.465	1.000e+00	0.681	0.604	0.481	4.565e-01
RB1	0.319	3.749e-01	-0.477	0.515	0.482	4.605e-01
SIN3A	-0.450	6.735e-01	-1.466	0.583	0.485	4.669e-01
ESRRA	0.237	4.063e-01	0.413	0.493	0.485	4.669e-01
MAPK1	0.227	4.103e-01	-1.018	0.530	0.486	4.694e-01
BCAT1	0.224	4.114e-01	0.768	0.482	0.487	4.702e-01
INO80	-0.715	7.627e-01	-1.215	0.585	0.487	4.718e-01
RARA	-1.011	8.440e-01	-0.662	0.572	0.488	4.734e-01
BANF1	-0.084	5.333e-01	0.492	0.501	0.489	4.742e-01
CREM	0.091	4.638e-01	0.287	0.501	0.489	4.750e-01
KDM1B	-0.021	5.084e-01	1.328	0.464	0.489	4.750e-01
GRHL2	-0.765	7.779e-01	0.741	0.518	0.489	4.758e-01
KLF1	-0.046	5.185e-01	-0.889	0.538	0.489	4.758e-01
EP400	0.470	3.193e-01	0.137	0.491	0.489	4.758e-01
ZNF573	0.056	4.776e-01	1.204	0.469	0.490	4.774e-01
SETX	0.498	3.091e-01	0.037	0.493	0.490	4.782e-01
ZNF317	-0.292	6.150e-01	1.096	0.493	0.491	4.791e-01
ZNF597	0.344	3.654e-01	0.489	0.485	0.491	4.791e-01
SP2	0.225	4.111e-01	-0.913	0.523	0.492	4.815e-01
FOXO1	-0.127	5.506e-01	0.434	0.503	0.494	4.855e-01
ZNF605	0.082	4.675e-01	1.131	0.470	0.494	4.863e-01
NR1H2	0.275	3.916e-01	0.339	0.487	0.499	4.985e-01
MYH11	-0.308	6.209e-01	-1.613	0.573	0.499	4.985e-01
ERCC6	-0.045	5.178e-01	-0.379	0.517	0.500	5.001e-01
MEF2C	0.407	3.420e-01	0.144	0.488	0.501	5.017e-01
DLX2	0.128	4.491e-01	0.835	0.473	0.501	5.017e-01
ZNF518A	0.455	3.245e-01	-0.047	0.490	0.502	5.041e-01
SPIB	-0.150	5.597e-01	0.793	0.489	0.503	5.057e-01
ZNF146	-0.088	5.349e-01	0.449	0.497	0.503	5.074e-01
ZNF133	-0.037	5.147e-01	1.152	0.463	0.504	5.098e-01
ZNF441	0.499	3.088e-01	-0.302	0.493	0.506	5.138e-01
CHAT	-0.091	5.362e-01	1.245	0.463	0.506	5.138e-01
CREBBP	-1.232	8.910e-01	-0.974	0.583	0.508	5.171e-01
NCAPG2	-0.012	5.049e-01	0.985	0.465	0.509	5.211e-01
HOXA4	0.476	3.170e-01	-0.285	0.492	0.510	5.219e-01
LMTK3	-0.140	5.557e-01	0.950	0.479	0.510	5.227e-01
TERF1	0.226	4.105e-01	0.420	0.477	0.511	5.243e-01
GATA2	-2.172	9.851e-01	0.495	0.562	0.512	5.267e-01
NR5A2	-0.077	5.309e-01	1.034	0.468	0.512	5.267e-01
MBD3	-0.488	6.871e-01	-0.561	0.532	0.513	5.300e-01
RAG2	0.549	2.914e-01	-0.679	0.496	0.513	5.300e-01
PARP1	-0.149	5.592e-01	1.278	0.458	0.515	5.340e-01
VDR	-0.367	6.432e-01	-0.470	0.523	0.518	5.413e-01
TAF1	-0.762	7.770e-01	-1.560	0.575	0.522	5.485e-01
ZNF281	0.354	3.615e-01	-0.097	0.485	0.522	5.493e-01
SETD1A	0.349	3.635e-01	-0.976	0.506	0.523	5.509e-01
MECOM	0.120	4.522e-01	0.463	0.472	0.523	5.517e-01
KDM4C	0.520	3.015e-01	-0.759	0.494	0.523	5.525e-01
SF1	-0.182	5.723e-01	1.223	0.456	0.524	5.549e-01
LANA	0.289	3.864e-01	-0.639	0.496	0.530	5.662e-01
ZNF143	-1.030	8.484e-01	-1.121	0.563	0.530	5.670e-01
APOBEC3B	0.110	4.563e-01	0.413	0.472	0.531	5.686e-01
PRMT1	-0.062	5.249e-01	0.309	0.484	0.532	5.710e-01
IKZF1	-0.895	8.146e-01	0.035	0.518	0.535	5.789e-01
MYF5	0.101	4.599e-01	0.320	0.471	0.536	5.813e-01
HBP1	0.355	3.614e-01	-0.543	0.488	0.537	5.829e-01
HDAC4	0.233	4.078e-01	-0.107	0.478	0.539	5.869e-01
POLR2M	0.223	4.119e-01	-0.652	0.493	0.540	5.893e-01
MAF	-0.801	7.884e-01	-0.813	0.537	0.540	5.901e-01
C17orf49	0.036	4.857e-01	-0.838	0.503	0.543	5.956e-01
FAIRE	-1.679	9.534e-01	-1.118	0.581	0.546	6.019e-01
DDX5	-0.217	5.860e-01	-0.146	0.498	0.547	6.059e-01
ZBTB33	-1.780	9.625e-01	-1.339	0.601	0.549	6.090e-01
ZFAT	-0.095	5.377e-01	0.556	0.461	0.549	6.090e-01
TTF1	-0.121	5.481e-01	0.484	0.465	0.549	6.098e-01
MAFF	-0.512	6.957e-01	0.423	0.488	0.550	6.106e-01
PRKDC	-0.050	5.201e-01	-0.106	0.487	0.550	6.114e-01
HSF1	-0.608	7.283e-01	-1.600	0.553	0.552	6.153e-01
KLF15	-0.249	5.982e-01	-1.264	0.523	0.553	6.169e-01
KMT2B	-0.007	5.029e-01	0.170	0.465	0.554	6.208e-01
TEAD1-TEAD4	-0.058	5.231e-01	0.374	0.462	0.555	6.223e-01
ZEB2	-0.941	8.267e-01	-1.545	0.554	0.560	6.332e-01
ING2	0.206	4.185e-01	-0.434	0.477	0.560	6.332e-01
ATF4	-0.737	7.696e-01	0.542	0.486	0.561	6.355e-01
DAXX	-0.105	5.419e-01	0.243	0.465	0.561	6.355e-01
KLF5	-0.479	6.841e-01	-0.459	0.502	0.564	6.417e-01
TCF7L2	-1.618	9.471e-01	-1.519	0.579	0.566	6.455e-01
E2F3	0.228	4.100e-01	-0.700	0.478	0.567	6.471e-01
SOX9	-0.141	5.562e-01	-0.955	0.502	0.567	6.478e-01
ZNF671	-0.048	5.193e-01	0.090	0.463	0.567	6.486e-01
GTF2F1	-0.325	6.274e-01	-1.250	0.515	0.569	6.524e-01
CBX1	-0.349	6.364e-01	-1.162	0.513	0.571	6.562e-01
BANP	-0.442	6.707e-01	0.261	0.474	0.572	6.577e-01
ETV4	-0.227	5.900e-01	-0.403	0.490	0.573	6.600e-01
ZNF26	-0.391	6.519e-01	0.772	0.443	0.573	6.600e-01
TET1	0.223	4.119e-01	-0.831	0.477	0.576	6.660e-01
AHR	-0.636	7.375e-01	0.667	0.464	0.576	6.668e-01
GATAD2B	-0.783	7.831e-01	-0.855	0.517	0.576	6.676e-01
TBP	-0.921	8.214e-01	-1.968	0.573	0.577	6.698e-01
BAHD1	-0.828	7.961e-01	1.039	0.455	0.578	6.721e-01
E2F1	-0.546	7.074e-01	-1.146	0.515	0.580	6.751e-01
FXR2	-0.112	5.447e-01	0.071	0.460	0.580	6.751e-01
PPARGC1A	-0.057	5.228e-01	-0.110	0.462	0.582	6.803e-01
SMARCE1	-1.069	8.575e-01	-0.778	0.520	0.583	6.818e-01
BRCA1	-1.450	9.265e-01	-1.501	0.558	0.585	6.862e-01
ZNF440	-0.456	6.759e-01	0.654	0.439	0.586	6.877e-01
ZNF264	-0.197	5.782e-01	-0.014	0.463	0.587	6.891e-01
XRN2	-0.330	6.292e-01	-1.098	0.501	0.587	6.906e-01
PRDM12	-0.534	7.033e-01	0.854	0.434	0.588	6.913e-01
CAMTA2	-0.195	5.775e-01	0.126	0.455	0.588	6.928e-01
ZNF304	-0.429	6.660e-01	0.540	0.440	0.588	6.928e-01
MEF2A	-0.520	6.983e-01	-0.763	0.497	0.592	7.001e-01
KLF16	-0.353	6.380e-01	-0.051	0.466	0.593	7.030e-01
TERF2	-0.117	5.466e-01	-0.128	0.459	0.593	7.030e-01
STAT5A	-0.661	7.457e-01	-0.908	0.504	0.595	7.052e-01
KDM1A	-2.056	9.801e-01	-1.170	0.561	0.596	7.081e-01
SMARCA5	-0.763	7.773e-01	-0.334	0.494	0.596	7.088e-01
ZNF701	-0.232	5.917e-01	0.061	0.453	0.598	7.117e-01
BIRA	-0.625	7.341e-01	0.361	0.459	0.599	7.145e-01
MYC	-2.982	9.986e-01	-1.468	0.585	0.600	7.159e-01
INTS12	0.111	4.558e-01	-1.038	0.472	0.601	7.181e-01
PBX1	-0.592	7.230e-01	-0.130	0.480	0.602	7.195e-01
PHF6	0.138	4.453e-01	-1.145	0.473	0.602	7.202e-01
CBX3	-1.777	9.622e-01	0.119	0.509	0.604	7.230e-01
ZNF84	-0.344	6.344e-01	0.082	0.446	0.606	7.272e-01
SCML2	-0.135	5.535e-01	-0.770	0.473	0.606	7.272e-01
ZNF765	-0.535	7.038e-01	0.516	0.434	0.607	7.293e-01
BCL11B	-1.039	8.507e-01	-1.408	0.523	0.607	7.300e-01
YY1	-2.660	9.961e-01	-1.560	0.581	0.608	7.321e-01
PGBD3	-0.258	6.018e-01	-0.084	0.451	0.609	7.328e-01
ZNF331	-0.618	7.317e-01	0.681	0.427	0.609	7.328e-01
JUN	-2.997	9.986e-01	-0.716	0.549	0.610	7.356e-01
CHD1	-1.781	9.626e-01	-1.817	0.573	0.613	7.418e-01
HEY1	-0.459	6.768e-01	-1.601	0.508	0.614	7.431e-01
TARDBP	-0.489	6.877e-01	-1.327	0.501	0.614	7.438e-01
LIN9	-0.363	6.418e-01	-0.015	0.445	0.614	7.438e-01
YAP1	-0.946	8.279e-01	-0.037	0.480	0.615	7.445e-01
KLF12	0.047	4.814e-01	-1.129	0.468	0.615	7.452e-01
ETV6	-0.557	7.113e-01	0.041	0.456	0.616	7.472e-01
IRAK1	0.113	4.549e-01	-1.279	0.472	0.617	7.486e-01
ZMIZ1	-0.503	6.927e-01	-1.168	0.495	0.617	7.493e-01
RCOR1	-0.845	8.008e-01	-1.057	0.501	0.618	7.513e-01
UBE2I	-0.194	5.768e-01	-0.467	0.455	0.619	7.519e-01
CDK7	-0.571	7.160e-01	-1.490	0.504	0.620	7.553e-01
BCLAF1	-0.589	7.221e-01	-1.592	0.509	0.621	7.560e-01
ZBED1	-0.435	6.683e-01	-0.518	0.463	0.623	7.606e-01
SMN1	-0.687	7.538e-01	0.609	0.422	0.623	7.606e-01
OGT	-0.917	8.204e-01	-1.425	0.512	0.624	7.626e-01
HOXA2	-0.095	5.380e-01	-0.875	0.461	0.624	7.626e-01
BACH1	-1.771	9.617e-01	-1.813	0.563	0.625	7.646e-01
BRD4	-4.779	1.000e+00	-1.824	0.608	0.627	7.672e-01
CDK12	-0.087	5.347e-01	-0.985	0.461	0.627	7.678e-01
MTA2	-1.609	9.462e-01	-1.229	0.524	0.628	7.698e-01
LEF1	-1.806	9.645e-01	-2.257	0.594	0.629	7.717e-01
NCAPG	-1.105	8.653e-01	-0.274	0.487	0.629	7.717e-01
CEBPB	-5.063	1.000e+00	-0.424	0.533	0.632	7.756e-01
TAF7	-1.818	9.655e-01	-1.808	0.562	0.632	7.762e-01
ARID2	-0.119	5.475e-01	-1.372	0.480	0.632	7.769e-01
RARG	-0.595	7.240e-01	-0.460	0.463	0.634	7.794e-01
ZNF217	-0.640	7.389e-01	0.247	0.426	0.638	7.876e-01
GABP	-0.335	6.311e-01	-1.151	0.474	0.638	7.876e-01
CDK9	-1.752	9.601e-01	-1.852	0.557	0.641	7.913e-01
NRF1	-2.129	9.834e-01	-1.536	0.544	0.641	7.925e-01
GABPA	-3.558	9.998e-01	-2.062	0.615	0.641	7.925e-01
MYB	-1.162	8.774e-01	-0.554	0.488	0.642	7.944e-01
NR0B1	-0.083	5.330e-01	-1.274	0.461	0.644	7.974e-01
MTA3	-1.166	8.783e-01	-1.148	0.502	0.645	7.980e-01
TLX1	-0.499	6.912e-01	-0.293	0.436	0.645	7.986e-01
ZXDC	-0.510	6.950e-01	-0.214	0.435	0.645	7.993e-01
FOXM1	-1.824	9.659e-01	-1.047	0.518	0.646	7.999e-01
NELFE	-4.534	1.000e+00	-1.816	0.583	0.646	7.999e-01
ZNF207	-1.490	9.319e-01	0.538	0.451	0.646	8.005e-01
NONO	-1.112	8.669e-01	0.491	0.431	0.648	8.046e-01
ZNF675	-0.696	7.568e-01	0.205	0.421	0.649	8.058e-01
FOSL1	-1.771	9.617e-01	-0.888	0.509	0.650	8.076e-01
MED1	-4.164	1.000e+00	-1.874	0.583	0.651	8.082e-01
POLR2A	-20.658	1.000e+00	-1.945	0.599	0.651	8.094e-01
WDHD1	-0.527	7.007e-01	-0.636	0.445	0.653	8.117e-01
ZSCAN22	-0.481	6.846e-01	-1.344	0.477	0.655	8.152e-01
SAP30	-1.092	8.625e-01	-1.638	0.511	0.655	8.158e-01
ZNF687	-0.485	6.863e-01	-0.780	0.447	0.655	8.158e-01
RUNX1	-6.893	1.000e+00	-2.063	0.604	0.656	8.163e-01
RAC3	-0.509	6.947e-01	-0.469	0.435	0.656	8.169e-01
SPI1	-6.318	1.000e+00	-1.234	0.544	0.658	8.203e-01
LEO1	-0.372	6.450e-01	-0.905	0.444	0.658	8.203e-01
LMO1	-0.467	6.796e-01	-0.768	0.438	0.661	8.243e-01
KDM6A	-0.491	6.883e-01	-0.674	0.437	0.661	8.243e-01
MNT	-0.742	7.709e-01	-0.778	0.462	0.661	8.248e-01
BRPF3	-0.114	5.454e-01	-1.635	0.471	0.661	8.248e-01
REL	-0.555	7.107e-01	-1.503	0.484	0.662	8.265e-01
WWTR1	-0.740	7.703e-01	-0.212	0.435	0.663	8.270e-01
ZNF808	-0.942	8.270e-01	0.375	0.400	0.663	8.270e-01
ERCC2	-0.570	7.157e-01	-0.437	0.431	0.664	8.287e-01
THAP11	-0.276	6.088e-01	-1.179	0.450	0.665	8.303e-01
BPTF	-0.162	5.643e-01	-1.467	0.457	0.666	8.325e-01
ETV5	-0.733	7.682e-01	-0.561	0.441	0.669	8.363e-01
MGEA5	-0.236	5.932e-01	-1.341	0.453	0.670	8.384e-01
E2F2	-0.537	7.042e-01	-0.694	0.434	0.671	8.400e-01
ZNF284	-0.763	7.772e-01	-0.098	0.415	0.673	8.420e-01
XCL1	-0.353	6.380e-01	-1.219	0.445	0.674	8.446e-01
BRD1	-0.168	5.669e-01	-1.581	0.456	0.675	8.452e-01
HOXA6	-0.337	6.320e-01	-1.306	0.447	0.677	8.477e-01
PPARD	-0.465	6.790e-01	-1.105	0.438	0.678	8.492e-01
MEIS1	-1.260	8.961e-01	-0.208	0.445	0.682	8.547e-01
ZFX	-1.353	9.119e-01	-1.508	0.499	0.683	8.562e-01
ATF1	-1.929	9.731e-01	-1.702	0.521	0.687	8.615e-01
NCOR2	-0.774	7.806e-01	-0.737	0.435	0.687	8.615e-01
KLF6	-0.301	6.183e-01	-1.560	0.449	0.687	8.624e-01
ETV1	-1.012	8.442e-01	-2.128	0.513	0.689	8.653e-01
HJURP	-0.824	7.950e-01	-0.361	0.410	0.691	8.676e-01
SIX4	-1.069	8.575e-01	0.187	0.390	0.692	8.680e-01
KAT7	-0.227	5.898e-01	-1.664	0.453	0.692	8.685e-01
H2AFX	-1.502	9.334e-01	-0.078	0.439	0.693	8.694e-01
GREB1	-1.875	9.696e-01	0.028	0.462	0.693	8.694e-01
PMEL	-0.926	8.228e-01	-1.367	0.471	0.693	8.703e-01
HDGF	-1.975	9.759e-01	-1.300	0.504	0.694	8.708e-01
CTBP1	-1.016	8.453e-01	-0.614	0.434	0.695	8.726e-01
ZNF280A	-0.984	8.375e-01	-0.081	0.398	0.696	8.731e-01
ZNF260	-0.667	7.478e-01	-0.837	0.424	0.696	8.740e-01
FOSL2	-5.768	1.000e+00	-0.750	0.506	0.697	8.749e-01
KDM3A	-0.724	7.655e-01	-1.350	0.456	0.698	8.762e-01
ZNF24	-1.964	9.752e-01	-1.866	0.524	0.699	8.771e-01
PLRG1	-1.533	9.374e-01	0.351	0.402	0.699	8.775e-01
NOTCH3	-1.119	8.684e-01	0.235	0.385	0.700	8.784e-01
ZC3H8	-1.091	8.624e-01	-1.655	0.488	0.701	8.801e-01
POU3F2	-0.912	8.192e-01	-0.798	0.428	0.701	8.801e-01
ZKSCAN1	-1.292	9.019e-01	-1.113	0.468	0.702	8.814e-01
ZNF350	-0.636	7.377e-01	-1.068	0.426	0.703	8.818e-01
ERCC3	-0.653	7.430e-01	-1.070	0.425	0.705	8.848e-01
JUNB	-1.769	9.615e-01	-1.371	0.496	0.707	8.865e-01
TAF3	-0.411	6.596e-01	-1.621	0.441	0.707	8.869e-01
FOXD2	-0.542	7.062e-01	-1.357	0.433	0.709	8.886e-01
AUTS2	-0.397	6.544e-01	-1.670	0.442	0.710	8.898e-01
ARNT	-1.223	8.894e-01	-1.661	0.487	0.711	8.914e-01
ZNF248	-1.124	8.695e-01	0.033	0.385	0.712	8.926e-01
TBL1XR1	-1.107	8.659e-01	-1.945	0.500	0.713	8.938e-01
GRHL1	-0.871	8.081e-01	-0.777	0.407	0.716	8.970e-01
RBL2	-1.612	9.465e-01	-1.271	0.480	0.716	8.974e-01
ZNF649	-1.254	8.951e-01	0.092	0.371	0.718	8.986e-01
MCRS1	-0.532	7.026e-01	-1.587	0.434	0.720	9.013e-01
ZNF766	-1.230	8.906e-01	-1.327	0.462	0.720	9.013e-01
MKL1	-0.617	7.313e-01	-1.461	0.427	0.721	9.028e-01
CREB3L4	-0.870	8.080e-01	-0.952	0.407	0.723	9.046e-01
CUX1	-3.275	9.995e-01	-1.767	0.521	0.724	9.054e-01
E2F4	-1.265	8.970e-01	-1.554	0.468	0.729	9.101e-01
PHF8	-2.483	9.935e-01	-1.777	0.513	0.729	9.101e-01
FXR1	-0.679	7.515e-01	-1.403	0.423	0.729	9.105e-01
NCOR1	-1.320	9.065e-01	-1.949	0.498	0.730	9.112e-01
NFATC1	-1.020	8.461e-01	-1.922	0.485	0.730	9.112e-01
CDK6	-0.488	6.871e-01	-1.786	0.437	0.730	9.115e-01
MBOAT4	-0.634	7.371e-01	-1.546	0.426	0.730	9.119e-01
NPAT	-0.625	7.341e-01	-1.567	0.427	0.732	9.129e-01
ELF1	-1.700	9.555e-01	-2.110	0.512	0.735	9.164e-01
CCDC101	-1.190	8.831e-01	-1.417	0.448	0.736	9.171e-01
PTPN11	-0.613	7.300e-01	-1.659	0.428	0.738	9.187e-01
TCOF1	-0.548	7.081e-01	-1.770	0.433	0.739	9.201e-01
POU2F1	-1.328	9.079e-01	-0.126	0.363	0.740	9.207e-01
TAL1	-6.345	1.000e+00	-1.004	0.491	0.741	9.214e-01
UBTF	-0.986	8.380e-01	-2.029	0.483	0.741	9.214e-01
RUVBL1	-0.774	7.805e-01	-1.416	0.415	0.741	9.217e-01
RAD51	-1.614	9.467e-01	-1.135	0.451	0.742	9.224e-01
ATOH1	-0.726	7.660e-01	-1.528	0.418	0.743	9.233e-01
TFDP1	-1.607	9.460e-01	-1.633	0.479	0.743	9.236e-01
USP49	-1.343	9.104e-01	-0.129	0.361	0.743	9.236e-01
ZNF592	-1.260	8.963e-01	-0.945	0.413	0.744	9.246e-01
GATAD1	-1.024	8.471e-01	-1.559	0.436	0.745	9.252e-01
KLF3	-0.949	8.287e-01	-1.174	0.400	0.746	9.262e-01
ZFP28	-1.627	9.481e-01	-0.116	0.384	0.748	9.277e-01
ZNF486	-1.817	9.654e-01	0.119	0.378	0.749	9.290e-01
PHF2	-0.674	7.500e-01	-1.865	0.442	0.750	9.296e-01
CENPT	-1.439	9.249e-01	-0.124	0.348	0.751	9.302e-01
TRRAP	-1.235	8.916e-01	-1.582	0.446	0.752	9.311e-01
STAT5B	-1.741	9.592e-01	-1.457	0.467	0.752	9.311e-01
PRMT5	-1.083	8.605e-01	-0.999	0.389	0.752	9.314e-01
ASCL2	-0.785	7.837e-01	-1.556	0.413	0.752	9.314e-01
TAT	-1.092	8.625e-01	-0.970	0.388	0.753	9.320e-01
DPF1	-0.968	8.335e-01	-1.764	0.440	0.754	9.332e-01
CEBPD	-1.026	8.475e-01	-2.299	0.484	0.756	9.349e-01
ETS1	-2.944	9.984e-01	-1.838	0.506	0.759	9.372e-01
HDAC1	-2.276	9.886e-01	-2.399	0.518	0.759	9.372e-01
FOS	-3.234	9.994e-01	-1.180	0.483	0.760	9.380e-01
SETDB1	-3.236	9.994e-01	-1.240	0.484	0.762	9.391e-01
FOXG1	-0.974	8.351e-01	-1.463	0.398	0.764	9.408e-01
XBP1	-1.669	9.524e-01	-1.568	0.457	0.767	9.429e-01
ETV7	-0.979	8.362e-01	-1.494	0.398	0.767	9.429e-01
BACH2	-1.837	9.669e-01	-1.101	0.437	0.767	9.432e-01
DLX1	-0.887	8.125e-01	-1.609	0.405	0.767	9.432e-01
ZNF287	-1.488	9.316e-01	-0.379	0.339	0.768	9.440e-01
LDB1	-1.309	9.047e-01	-0.823	0.365	0.769	9.442e-01
GATA1	-6.364	1.000e+00	-1.080	0.477	0.769	9.445e-01
AGO2	-0.856	8.040e-01	-1.682	0.408	0.770	9.450e-01
THAP1	-0.695	7.566e-01	-1.849	0.421	0.770	9.455e-01
ASH1L	-0.677	7.509e-01	-1.877	0.423	0.771	9.463e-01
ORC1	-0.868	8.073e-01	-1.695	0.407	0.771	9.463e-01
CPSF3L	-1.664	9.519e-01	-1.815	0.473	0.772	9.465e-01
TAFII	-1.212	8.872e-01	-1.607	0.426	0.772	9.468e-01
ZNF586	-1.570	9.418e-01	-0.235	0.320	0.773	9.470e-01
ZNF136	-1.543	9.385e-01	-0.375	0.327	0.774	9.478e-01
ZNF430	-1.493	9.322e-01	-0.449	0.338	0.774	9.480e-01
EHF	-1.483	9.310e-01	-1.447	0.425	0.774	9.483e-01
ZBTB40	-2.294	9.891e-01	-2.271	0.509	0.775	9.485e-01
ZNF639	-2.243	9.876e-01	-2.102	0.501	0.780	9.521e-01
SMARCC2	-1.079	8.598e-01	-1.719	0.415	0.781	9.526e-01
E2F7	-1.843	9.674e-01	-1.198	0.432	0.782	9.531e-01
MAFG	-1.664	9.520e-01	-0.828	0.382	0.783	9.540e-01
HMGN1	-0.945	8.276e-01	-1.780	0.400	0.786	9.560e-01
L3MBTL2	-0.942	8.268e-01	-1.895	0.425	0.788	9.571e-01
HMGN3	-0.626	7.344e-01	-2.199	0.427	0.789	9.578e-01
FEV	-1.072	8.582e-01	-1.633	0.390	0.793	9.599e-01
DCP1A	-1.400	9.192e-01	-1.714	0.425	0.793	9.603e-01
AFF4	-2.721	9.967e-01	-1.949	0.495	0.794	9.605e-01
BTAF1	-1.007	8.429e-01	-1.787	0.396	0.796	9.615e-01
ARNT2	-1.060	8.553e-01	-1.747	0.391	0.796	9.617e-01
RPE	-1.568	9.416e-01	-1.893	0.453	0.798	9.629e-01
LRWD1	-1.715	9.568e-01	-0.392	0.249	0.800	9.639e-01
LMO2	-2.727	9.968e-01	-1.202	0.437	0.801	9.645e-01
BARX1	-1.112	8.670e-01	-1.663	0.386	0.801	9.647e-01
CENPC	-1.732	9.583e-01	-0.382	0.142	0.802	9.649e-01
PKNOX1	-1.418	9.218e-01	-1.595	0.398	0.802	9.653e-01
IRAK4	-0.783	7.832e-01	-2.067	0.414	0.803	9.654e-01
